foo,CR-Fairmount,CR-Fitchburg,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester
116,24.516666666666666,96.63333333333334,56.1,72.68333333333334,52.733333333333334,51.2,45.78333333333333,70.90833333333333,92.13333333333334,82.48333333333333
117,24.366666666666667,101.66666666666667,53.516666666666666,72.71666666666667,56.56666666666667,48.65,44.3,63.13333333333334,94.78333333333333,84.8
118,21.466666666666665,96.08333333333333,57.68333333333333,71.45,54.45,39.666666666666664,45.083333333333336,66.76666666666667,91.23333333333333,85.8
119,23.016666666666666,98.83333333333333,58.78333333333333,66.55,57.61666666666667,48.916666666666664,42.88333333333333,69.70833333333333,102.81666666666666,95.86666666666666
120,23.516666666666666,94.9,56.35,69.63333333333334,59.11666666666667,47.38333333333333,41.666666666666664,77.7,90.66666666666667,89.95
121,24.016666666666666,83.15,59.016666666666666,64.7,67.08333333333333,48.63333333333333,44.46666666666667,71.89999999999999,90.1,97.45
122,23.516666666666666,109.76666666666667,54.016666666666666,65.53333333333333,57.083333333333336,50.61666666666667,47.53333333333333,71.79166666666666,89.93333333333334,80.0
123,23.8,97.15,56.63333333333333,70.38333333333334,59.18333333333333,40.9,41.38333333333333,67.44999999999999,90.0,97.85
124,26.533333333333335,104.26666666666667,54.96666666666667,67.8,54.5,44.11666666666667,44.5,70.26666666666667,90.06666666666666,83.25
125,24.516666666666666,102.08333333333333,53.65,66.01666666666667,55.31666666666667,47.63333333333333,47.983333333333334,71.125,94.65,95.85
126,23.516666666666666,98.21666666666667,55.0,70.96666666666667,57.55,41.86666666666667,44.63333333333333,66.74166666666667,92.96666666666667,85.88333333333334
127,24.516666666666666,93.1,57.13333333333333,71.28333333333333,56.65,54.53333333333333,45.8,74.725,91.81666666666666,80.51666666666667
128,24.55,98.75,61.3,67.8,54.55,41.1,47.93333333333333,68.3,89.71666666666667,81.41666666666667
129,21.516666666666666,107.25,55.61666666666667,70.71666666666667,56.333333333333336,51.7,43.733333333333334,71.28333333333333,89.33333333333333,68.45
130,22.533333333333335,93.48333333333333,57.06666666666667,63.21666666666667,53.81666666666667,44.6,45.666666666666664,67.95833333333334,87.4,99.45
131,21.516666666666666,98.03333333333333,60.9,73.18333333333334,55.95,43.56666666666667,44.55,71.65833333333333,93.35,89.58333333333333
132,22.516666666666666,103.11666666666666,59.06666666666667,71.25,52.21666666666667,50.2,48.1,68.19166666666666,89.3,42.5
133,20.516666666666666,87.51666666666667,54.93333333333333,72.06666666666666,54.583333333333336,43.166666666666664,39.56666666666667,70.1,94.56666666666666,85.16666666666667
134,21.016666666666666,102.2,54.36666666666667,74.18333333333334,55.21666666666667,43.7,47.016666666666666,66.91666666666666,93.36666666666666,87.86666666666666
135,21.016666666666666,91.8,54.06666666666667,67.8,57.06666666666667,46.53333333333333,46.25,69.43333333333334,89.23333333333333,83.6
136,23.533333333333335,99.86666666666666,58.166666666666664,71.05,66.46666666666667,66.48333333333333,45.1,66.78333333333333,95.38333333333334,82.0
137,24.4,96.0,56.3,63.516666666666666,56.35,46.25,39.53333333333333,66.66666666666667,90.11666666666666,98.68333333333334
138,24.516666666666666,83.0,57.333333333333336,72.68333333333334,62.56666666666667,51.25,40.0,71.88333333333333,88.68333333333334,95.33333333333333
139,27.1,97.38333333333334,53.8,59.86666666666667,56.65,45.483333333333334,40.766666666666666,69.51666666666667,92.73333333333333,90.16666666666667
