actualTravelTimeMin,benchmarkTravelTime,delay,CR-Fairmount,CR-Fitchburg,CR-Franklin,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Middleborough,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester,North Station,South Station,weekday,hour,month,morning,evening,weekend,rush_hour,holiday,delay_label
28.05,30.0,-1.95,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,17,1,0,1,0,1,0,0
30.11666667,30.0,0.11666666699999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,18,1,0,1,0,1,0,1
26.6,30.0,-3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,19,1,0,1,0,1,0,0
26.73333333,30.0,-3.266666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20,1,0,1,0,0,0,0
27.46666667,30.0,-2.5333333330000003,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,1,1,0,0,0,0,0
27.35,30.0,-2.65,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,1,1,0,0,0,0,0
27.56666667,30.0,-2.433333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,1,0,0,0,0,0,0
29.8,30.0,-0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,1,0,0,0,0,0,0
28.18333333,30.0,-1.8166666669999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,16,1,0,0,0,0,0,0
27.58333333,30.0,-2.416666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,17,1,0,1,0,1,0,0
29.73333333,30.0,-0.26666666699999997,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,21,1,0,1,0,0,0,0
24.86666667,25.0,-0.133333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,1,1,0,1,1,0,0
27.61666667,25.0,2.616666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,1,1,0,1,1,0,1
26.36666667,25.0,1.3666666669999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,1,1,0,1,0,0,1
24.48333333,25.0,-0.5166666670000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,1,1,0,1,0,0,0
25.4,25.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,1,0,0,1,0,0,1
26.38333333,25.0,1.3833333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,13,1,0,0,1,0,0,1
25.83333333,25.0,0.833333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,14,1,0,0,1,0,0,1
26.95,25.0,1.95,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,17,1,0,1,1,1,0,1
